name	male_count	female_count	overall_count	male_ratio	female_ratio	max_ratio	predominant_gender
alix-anne	0.0	57.0	57.0	0.0	1.0	1.0	Female
alix-marie	0.0	26.0	26.0	0.0	1.0	1.0	Female
alixan	56.0	0.0	56.0	1.0	0.0	1.0	Male
alixane	0.0	66.0	66.0	0.0	1.0	1.0	Female
alixe	0.0	1274.0	1274.0	0.0	1.0	1.0	Female
alixia	0.0	540.0	540.0	0.0	1.0	1.0	Female
aliya	0.0	6770.0	6770.0	0.0	1.0	1.0	Female
aliyaah	0.0	51.0	51.0	0.0	1.0	1.0	Female
aliyah	0.0	6170.0	6170.0	0.0	1.0	1.0	Female
aliyana	0.0	50.0	50.0	0.0	1.0	1.0	Female
aliyar	29.0	0.0	29.0	1.0	0.0	1.0	Male
aliye	0.0	61.0	61.0	0.0	1.0	1.0	Female
aliyou	21.0	0.0	21.0	1.0	0.0	1.0	Male
aliyya	0.0	20.0	20.0	0.0	1.0	1.0	Female
aliyyah	0.0	55.0	55.0	0.0	1.0	1.0	Female
aliza	0.0	334.0	334.0	0.0	1.0	1.0	Female
alize	0.0	1549.0	1549.0	0.0	1.0	1.0	Female
alizea	0.0	536.0	536.0	0.0	1.0	1.0	Female
alizee	0.0	372.0	372.0	0.0	1.0	1.0	Female
alizia	0.0	123.0	123.0	0.0	1.0	1.0	Female
alizon	0.0	28.0	28.0	0.0	1.0	1.0	Female
alizé	0.0	615.0	615.0	0.0	1.0	1.0	Female
alizéa	0.0	243.0	243.0	0.0	1.0	1.0	Female
alizée	0.0	13637.0	13637.0	0.0	1.0	1.0	Female
aliénor	0.0	2764.0	2764.0	0.0	1.0	1.0	Female
aliénore	0.0	32.0	32.0	0.0	1.0	1.0	Female
aljia	0.0	37.0	37.0	0.0	1.0	1.0	Female
alkaly	51.0	0.0	51.0	1.0	0.0	1.0	Male
alkan	60.0	0.0	60.0	1.0	0.0	1.0	Male
alkis	27.0	0.0	27.0	1.0	0.0	1.0	Male
alla	27.0	75.0	102.0	0.2647058823529412	0.7352941176470589	0.7352941176470589	Female
allaa	0.0	22.0	22.0	0.0	1.0	1.0	Female
allain	2991.0	0.0	2991.0	1.0	0.0	1.0	Male
allal	170.0	0.0	170.0	1.0	0.0	1.0	Male
allan	17728.0	0.0	17728.0	1.0	0.0	1.0	Male
allana	0.0	111.0	111.0	0.0	1.0	1.0	Female
allande	130.0	0.0	130.0	1.0	0.0	1.0	Male
allane	85.0	0.0	85.0	1.0	0.0	1.0	Male
allann	52.0	0.0	52.0	1.0	0.0	1.0	Male
allaoua	110.0	0.0	110.0	1.0	0.0	1.0	Male
allaoui	41.0	0.0	41.0	1.0	0.0	1.0	Male
allassane	63.0	0.0	63.0	1.0	0.0	1.0	Male
allegra	0.0	194.0	194.0	0.0	1.0	1.0	Female
allegresse	0.0	26.0	26.0	0.0	1.0	1.0	Female
allegria	0.0	29.0	29.0	0.0	1.0	1.0	Female
allel	76.0	0.0	76.0	1.0	0.0	1.0	Male
allen	277.0	0.0	277.0	1.0	0.0	1.0	Male
alli	41.0	0.0	41.0	1.0	0.0	1.0	Male
allia	0.0	261.0	261.0	0.0	1.0	1.0	Female
alliah	0.0	71.0	71.0	0.0	1.0	1.0	Female
alliance	0.0	33.0	33.0	0.0	1.0	1.0	Female
alliaume	38.0	0.0	38.0	1.0	0.0	1.0	Male
allicia	0.0	58.0	58.0	0.0	1.0	1.0	Female
allie	0.0	96.0	96.0	0.0	1.0	1.0	Female
alliette	0.0	224.0	224.0	0.0	1.0	1.0	Female
alline	0.0	23.0	23.0	0.0	1.0	1.0	Female
allison	0.0	5518.0	5518.0	0.0	1.0	1.0	Female
allisone	0.0	30.0	30.0	0.0	1.0	1.0	Female
allissa	0.0	23.0	23.0	0.0	1.0	1.0	Female
allissia	0.0	111.0	111.0	0.0	1.0	1.0	Female
allisson	0.0	491.0	491.0	0.0	1.0	1.0	Female
allistair	48.0	0.0	48.0	1.0	0.0	1.0	Male
allister	50.0	0.0	50.0	1.0	0.0	1.0	Male
